X, Y, Z
-1.000000000000000000e+01,-10,-8.300077056884765625e+01
-1.000000000000000000e+01,-9.5,-81.2709121704101
-1.000000000000000000e+01,-9,-75.8494186401367
-1.000000000000000000e+01,-8.5,-59.8974914550781
-1.000000000000000000e+01,-8,-24.2978916168213
-1.000000000000000000e+01,-7.5,22.1730079650879
-1.000000000000000000e+01,-7,56.7017021179199
-1.000000000000000000e+01,-6.5,77.299934387207
-1.000000000000000000e+01,-6,88.3373031616211
-1.000000000000000000e+01,-5.5,93.9712219238281
-1.000000000000000000e+01,-5,98.9948196411133
-1.000000000000000000e+01,-4.5,105.883605957031
-1.000000000000000000e+01,-4,114.374534606934
-1.000000000000000000e+01,-3.5,124.022476196289
-1.000000000000000000e+01,-3,135.661727905273
-1.000000000000000000e+01,-2.5,148.170959472656
-1.000000000000000000e+01,-2,161.491989135742
-1.000000000000000000e+01,-1.5,174.889297485352
-1.000000000000000000e+01,-1,181.085403442383
-1.000000000000000000e+01,-0.5,182.849639892578
-1.000000000000000000e+01,0,183.461685180664
-1.000000000000000000e+01,0.5,183.787719726562
-1.000000000000000000e+01,1,184.002563476562
-1.000000000000000000e+01,1.5,184.082977294922
-1.000000000000000000e+01,2,183.72021484375
-1.000000000000000000e+01,2.5,181.572265625
-1.000000000000000000e+01,3,174.105346679687
-1.000000000000000000e+01,3.5,160.452850341797
-1.000000000000000000e+01,4,145.576293945312
-1.000000000000000000e+01,4.5,134.457809448242
-1.000000000000000000e+01,5,128.786041259766
-1.000000000000000000e+01,5.5,126.215278625488
-1.000000000000000000e+01,6,124.566856384277
-1.000000000000000000e+01,6.5,121.209503173828
-1.000000000000000000e+01,7,111.294532775879
-1.000000000000000000e+01,7.5,92.0796356201172
-1.000000000000000000e+01,8,70.275863647461
-1.000000000000000000e+01,8.5,48.6833343505859
-1.000000000000000000e+01,9,31.6802177429199
-1.000000000000000000e+01,9.5,22.7474193572998
-1.000000000000000000e+01,10,17.1846885681152
-1.000000000000000000e+01,-10,-90.8560485839843
-9.500000000000000000e+00,-9.5,-89.1849212646484
-9.500000000000000000e+00,-9,-83.9846801757812
-9.500000000000000000e+00,-8.5,-68.6144256591797
-9.500000000000000000e+00,-8,-33.770149230957
-9.500000000000000000e+00,-7.5,13.0556869506836
-9.500000000000000000e+00,-7,48.9427719116211
-9.500000000000000000e+00,-6.5,70.1618728637695
-9.500000000000000000e+00,-6,80.9445953369141
-9.500000000000000000e+00,-5.5,86.3683166503906
-9.500000000000000000e+00,-5,91.3815078735352
-9.500000000000000000e+00,-4.5,98.3559951782226
-9.500000000000000000e+00,-4,106.994888305664
-9.500000000000000000e+00,-3.5,116.924430847168
-9.500000000000000000e+00,-3,128.824279785156
-9.500000000000000000e+00,-2.5,141.279693603516
-9.500000000000000000e+00,-2,154.497634887695
-9.500000000000000000e+00,-1.5,167.501190185547
-9.500000000000000000e+00,-1,173.257400512695
-9.500000000000000000e+00,-0.5,174.854614257812
-9.500000000000000000e+00,0,175.391998291016
-9.500000000000000000e+00,0.5,175.663726806641
-9.500000000000000000e+00,1,175.826736450195
-9.500000000000000000e+00,1.5,175.849548339844
-9.500000000000000000e+00,2,175.405975341797
-9.500000000000000000e+00,2.5,173.105499267578
-9.500000000000000000e+00,3,165.491653442383
-9.500000000000000000e+00,3.5,152.342163085938
